Key,Source,Line,EventType,Occurrence,OwnerTask,Target
ECS/Objects/Achievements/RedCardApprentice.cs#CardPlayedEvent#1,ECS/Objects/Achievements/RedCardApprentice.cs,30,CardPlayedEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/Relentless.cs#CardPlayedEvent#1,ECS/Objects/Achievements/Relentless.cs,32,CardPlayedEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/Relentless.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Achievements/Relentless.cs,31,ChangeBattlePhaseEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/SkeletonSlayer.cs#EnemyKilledEvent#1,ECS/Objects/Achievements/SkeletonSlayer.cs,30,EnemyKilledEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/Slayer.cs#EnemyKilledEvent#1,ECS/Objects/Achievements/Slayer.cs,29,EnemyKilledEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Achievements/Unshackled.cs#EnemyKilledEvent#1,ECS/Objects/Achievements/Unshackled.cs,28,EnemyKilledEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Objects/Cards/DeusVult.cs#CardPlayedEvent#1,ECS/Objects/Cards/DeusVult.cs,73,CardPlayedEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Cards/DeusVult.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Cards/DeusVult.cs,74,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Cards/Graveward.cs#TopCardRemovedForMillEvent#1,ECS/Objects/Cards/Graveward.cs,52,TopCardRemovedForMillEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Cards/MaleficRite.cs#TrackingEvent#1,ECS/Objects/Cards/MaleficRite.cs,65,TrackingEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Cards/Purge.cs#PledgeAddedEvent#1,ECS/Objects/Cards/Purge.cs,60,PledgeAddedEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Cards/RelentlessStrike.cs#EnemyKilledEvent#1,ECS/Objects/Cards/RelentlessStrike.cs,61,EnemyKilledEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Enemies/DustWuurm.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Enemies/DustWuurm.cs,21,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Enemies/FireSkeleton.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Enemies/FireSkeleton.cs,25,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Enemies/GlacialGuardian.cs#CardMoved#1,ECS/Objects/Enemies/GlacialGuardian.cs,23,CardMoved,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Enemies/Succubus.cs#ModifyCourageEvent#1,ECS/Objects/Enemies/Succubus.cs,27,ModifyCourageEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StAnthonyOfPadua.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StAnthonyOfPadua.cs,25,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StAnthonyOfPadua.cs#DrawPileEmptyEvent#1,ECS/Objects/Medals/StAnthonyOfPadua.cs,24,DrawPileEmptyEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StAugustine.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StAugustine.cs,20,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StBartholomew.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StBartholomew.cs,27,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StBartholomew.cs#ModifyHpRequestEvent#1,ECS/Objects/Medals/StBartholomew.cs,26,ModifyHpRequestEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StBenedict.cs#PledgeAddedEvent#1,ECS/Objects/Medals/StBenedict.cs,21,PledgeAddedEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StClare.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StClare.cs,23,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StElijah.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StElijah.cs,24,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StElijah.cs#PledgeAddedEvent#1,ECS/Objects/Medals/StElijah.cs,23,PledgeAddedEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StFrancisDeSales.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StFrancisDeSales.cs,19,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StHomobonus.cs#ShowQuestRewardOverlay#1,ECS/Objects/Medals/StHomobonus.cs,24,ShowQuestRewardOverlay,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StIgnatius.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StIgnatius.cs,25,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StJerome.cs#ApplyPassiveEvent#1,ECS/Objects/Medals/StJerome.cs,20,ApplyPassiveEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StJoanOfArc.cs#CardPlayedEvent#1,ECS/Objects/Medals/StJoanOfArc.cs,21,CardPlayedEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StLazarus.cs#TopCardRemovedForMillEvent#1,ECS/Objects/Medals/StLazarus.cs,23,TopCardRemovedForMillEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StLonginus.cs#PledgeAddedEvent#1,ECS/Objects/Medals/StLonginus.cs,23,PledgeAddedEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StLouieIX.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StLouieIX.cs,19,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StLuke.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StLuke.cs,20,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StMichael.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StMichael.cs,19,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StMonica.cs#TriggerTemperance#1,ECS/Objects/Medals/StMonica.cs,21,TriggerTemperance,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StPaulMiki.cs#CardBlockedEvent#1,ECS/Objects/Medals/StPaulMiki.cs,25,CardBlockedEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StPaulMiki.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StPaulMiki.cs,26,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StPeter.cs#CardBlockedEvent#1,ECS/Objects/Medals/StPeter.cs,22,CardBlockedEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StRita.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StRita.cs,24,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StRita.cs#TrackingEvent#1,ECS/Objects/Medals/StRita.cs,23,TrackingEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StSebastian.cs#EnemyKilledEvent#1,ECS/Objects/Medals/StSebastian.cs,22,EnemyKilledEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Objects/Medals/StSimonOfCyrene.cs#ChangeBattlePhaseEvent#1,ECS/Objects/Medals/StSimonOfCyrene.cs,20,ChangeBattlePhaseEvent,1,ECS-040,World-owned typed event stream or generated route
ECS/Rendering/ModalOverlayChrome.cs#DeleteCachesEvent#1,ECS/Rendering/ModalOverlayChrome.cs,303,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementBackButtonDisplaySystem.cs#LoadSceneEvent#1,ECS/Scenes/AchievementScene/AchievementBackButtonDisplaySystem.cs,40,LoadSceneEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementConfettiDisplaySystem.cs#AchievementRevealClickedEvent#1,ECS/Scenes/AchievementScene/AchievementConfettiDisplaySystem.cs,83,AchievementRevealClickedEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementDescriptionDisplaySystem.cs#AchievementGridItemHovered#1,ECS/Scenes/AchievementScene/AchievementDescriptionDisplaySystem.cs,53,AchievementGridItemHovered,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementDescriptionDisplaySystem.cs#LoadSceneEvent#1,ECS/Scenes/AchievementScene/AchievementDescriptionDisplaySystem.cs,54,LoadSceneEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementExplosionSystem.cs#AchievementRevealClickedEvent#1,ECS/Scenes/AchievementScene/AchievementExplosionSystem.cs,83,AchievementRevealClickedEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementExplosionSystem.cs#LoadSceneEvent#1,ECS/Scenes/AchievementScene/AchievementExplosionSystem.cs,84,LoadSceneEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementGridDisplaySystem.cs#LoadSceneEvent#1,ECS/Scenes/AchievementScene/AchievementGridDisplaySystem.cs,80,LoadSceneEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementMeterDisplaySystem.cs#BoosterPackOpeningDismissedEvent#1,ECS/Scenes/AchievementScene/AchievementMeterDisplaySystem.cs,68,BoosterPackOpeningDismissedEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementMeterDisplaySystem.cs#LoadSceneEvent#1,ECS/Scenes/AchievementScene/AchievementMeterDisplaySystem.cs,60,LoadSceneEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementSceneSystem.cs#DeleteCachesEvent#1,ECS/Scenes/AchievementScene/AchievementSceneSystem.cs,59,DeleteCachesEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementSceneSystem.cs#LoadSceneEvent#1,ECS/Scenes/AchievementScene/AchievementSceneSystem.cs,51,LoadSceneEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementSceneSystem.cs#PrepareSceneEvent#1,ECS/Scenes/AchievementScene/AchievementSceneSystem.cs,44,PrepareSceneEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Scenes/AchievementScene/AchievementTitleDisplaySystem.cs#LoadSceneEvent#1,ECS/Scenes/AchievementScene/AchievementTitleDisplaySystem.cs,44,LoadSceneEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AlertDisplaySystem.cs#AchievementCompletedEvent#1,ECS/Scenes/AlertDisplaySystem.cs,132,AchievementCompletedEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/AlertDisplaySystem.cs#AlertEvent#1,ECS/Scenes/AlertDisplaySystem.cs,129,AlertEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/ActionPointDisplaySystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/ActionPointDisplaySystem.cs,44,ChangeBattlePhaseEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/ActionPointDisplaySystem.cs#ModifyActionPointsEvent#1,ECS/Scenes/BattleScene/ActionPointDisplaySystem.cs,45,ModifyActionPointsEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/ActionPointManagementSystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/ActionPointManagementSystem.cs,20,ChangeBattlePhaseEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/ActionPointManagementSystem.cs#ModifyActionPointsEvent#1,ECS/Scenes/BattleScene/ActionPointManagementSystem.cs,21,ModifyActionPointsEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/ActionPointManagementSystem.cs#SetActionPointsEvent#1,ECS/Scenes/BattleScene/ActionPointManagementSystem.cs,22,SetActionPointsEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AmbushDisplaySystem.cs#BattlePhaseAnimationCompleteEvent#1,ECS/Scenes/BattleScene/AmbushDisplaySystem.cs,110,BattlePhaseAnimationCompleteEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AmbushDisplaySystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/AmbushDisplaySystem.cs,89,ChangeBattlePhaseEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AnathemaManagementSystem.cs#PledgeAddedEvent#1,ECS/Scenes/BattleScene/AnathemaManagementSystem.cs,18,PledgeAddedEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesDisplaySystem.cs#ApplyPassiveEvent#1,ECS/Scenes/BattleScene/AppliedPassivesDisplaySystem.cs,142,ApplyPassiveEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/AppliedPassivesDisplaySystem.cs,143,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesDisplaySystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/AppliedPassivesDisplaySystem.cs,144,LoadSceneEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesDisplaySystem.cs#PassiveTriggered#1,ECS/Scenes/BattleScene/AppliedPassivesDisplaySystem.cs,141,PassiveTriggered,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs#ApplyEffect#1,ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs,27,ApplyEffect,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs#ApplyPassiveEvent#1,ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs,26,ApplyPassiveEvent,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs#CardPlayedEvent#1,ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs,33,CardPlayedEvent,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs,25,ChangeBattlePhaseEvent,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs#EnemyKilledEvent#1,ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs,32,EnemyKilledEvent,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs,30,LoadSceneEvent,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs#RemoveAllPassives#1,ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs,31,RemoveAllPassives,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs#RemovePassive#1,ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs,28,RemovePassive,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs#UpdatePassive#1,ECS/Scenes/BattleScene/AppliedPassivesManagementSystem.cs,29,UpdatePassive,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AssignedBlockCardsDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/AssignedBlockCardsDisplaySystem.cs,64,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs#AssignedBlockReturnCompleted#1,ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs,23,AssignedBlockReturnCompleted,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs#BlockAssignmentAdded#1,ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs,21,BlockAssignmentAdded,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs#BlockAssignmentRemoved#1,ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs,22,BlockAssignmentRemoved,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs#CardMoved#1,ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs,24,CardMoved,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs#UnassignCardAsBlockRequested#1,ECS/Scenes/BattleScene/AssignedBlockLifecycleSystem.cs,20,UnassignCardAsBlockRequested,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AssignedBlocksToDiscardSystem.cs#DebugCommandEvent#1,ECS/Scenes/BattleScene/AssignedBlocksToDiscardSystem.cs,41,DebugCommandEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AttackResolutionSystem.cs#<inferred-delegate-type>#1,ECS/Scenes/BattleScene/AttackResolutionSystem.cs,114,<inferred-delegate-type>,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AttackResolutionSystem.cs#<inferred-delegate-type>#2,ECS/Scenes/BattleScene/AttackResolutionSystem.cs,115,<inferred-delegate-type>,2,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/AttackResolutionSystem.cs#ResolveAttack#1,ECS/Scenes/BattleScene/AttackResolutionSystem.cs,20,ResolveAttack,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleBackgroundSystem.cs#ChangeBattleLocationEvent#1,ECS/Scenes/BattleScene/BattleBackgroundSystem.cs,36,ChangeBattleLocationEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleCardMutationDisplaySystem.cs#CardRestrictionMutationAnimationRequested#1,ECS/Scenes/BattleScene/BattleCardMutationDisplaySystem.cs,54,CardRestrictionMutationAnimationRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleCardMutationDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/BattleCardMutationDisplaySystem.cs,55,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattlePhaseDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/BattlePhaseDisplaySystem.cs,161,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattlePhaseDisplaySystem.cs#ShowStartOfBattleAnimationEvent#1,ECS/Scenes/BattleScene/BattlePhaseDisplaySystem.cs,153,ShowStartOfBattleAnimationEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattlePhaseDisplaySystem.cs#ShowVictoryAnimationEvent#1,ECS/Scenes/BattleScene/BattlePhaseDisplaySystem.cs,157,ShowVictoryAnimationEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattlePhaseDrawSystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/BattlePhaseDrawSystem.cs,21,ChangeBattlePhaseEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleSceneSystem.cs#BattlePhaseAnimationCompleteEvent#1,ECS/Scenes/BattleScene/BattleSceneSystem.cs,297,BattlePhaseAnimationCompleteEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleSceneSystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/BattleSceneSystem.cs,279,DeleteCachesEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleSceneSystem.cs#DialogEnded#1,ECS/Scenes/BattleScene/BattleSceneSystem.cs,240,DialogEnded,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleSceneSystem.cs#DialogueSequenceCompleted#1,ECS/Scenes/BattleScene/BattleSceneSystem.cs,256,DialogueSequenceCompleted,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleSceneSystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/BattleSceneSystem.cs,206,LoadSceneEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleSceneSystem.cs#PrepareSceneEvent#1,ECS/Scenes/BattleScene/BattleSceneSystem.cs,197,PrepareSceneEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleSceneSystem.cs#StartBattleRequested#1,ECS/Scenes/BattleScene/BattleSceneSystem.cs,201,StartBattleRequested,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleSceneSystem.cs#TransitionCompleteEvent#1,ECS/Scenes/BattleScene/BattleSceneSystem.cs,287,TransitionCompleteEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs#ApplyEffect#1,ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs,31,ApplyEffect,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs,25,ChangeBattlePhaseEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs,27,LoadSceneEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs#ModifyCourageRequestEvent#1,ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs,29,ModifyCourageRequestEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs#ModifyHpEvent#1,ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs,32,ModifyHpEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs#SetCourageEvent#1,ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs,30,SetCourageEvent,1,ECS-042,World-owned typed event stream or generated route
